Countrycode,City,Type,Quarter,Variable,Value,Note
112,Minsk city,Tram,4Q2019,PKM,42023.5,
112,Minsk city,Tram,1Q2020,PKM,38168.4,
112,Minsk city,Tram,2Q2020,PKM,23653.2,
112,Minsk city,Tram,3Q2020,PKM,29476.2,
112,Minsk city,Tram,4Q2020,PKM,29270,
112,Minsk city,Tram,1Q2021,PKM,29030.7,
112,Minsk city,Tram,2Q2021,PKM,28714.4,
112,Minsk city,Tram,3Q2021,PKM,27712.2,
112,Minsk city,Tram,4Q2021,PKM,29544.7,
112,Vitebsk region,Tram,1Q2019,Pass,6339.6,
112,Vitebsk region,Tram,2Q2019,Pass,6027.1,
112,Vitebsk region,Tram,3Q2019,Pass,5577.3,
112,Vitebsk region,Tram,4Q2019,Pass,6219.9,
112,Vitebsk region,Tram,1Q2020,Pass,5555.3,
112,Vitebsk region,Tram,2Q2020,Pass,4166.3,
112,Vitebsk region,Tram,3Q2020,Pass,4117.6,
112,Vitebsk region,Tram,4Q2020,Pass,4422.5,
112,Vitebsk region,Tram,1Q2021,Pass,4374.4,
112,Vitebsk region,Tram,2Q2021,Pass,4450.1,
112,Vitebsk region,Tram,3Q2021,Pass,4168.3,
112,Vitebsk region,Tram,4Q2021,Pass,4631.9,
112,Vitebsk region,Tram,1Q2019,PKM,21473.9,
112,Vitebsk region,Tram,2Q2019,PKM,20480.6,
112,Vitebsk region,Tram,3Q2019,PKM,18955.6,
112,Vitebsk region,Tram,4Q2019,PKM,21097.2,
112,Vitebsk region,Tram,1Q2020,PKM,18915.7,
112,Vitebsk region,Tram,2Q2020,PKM,14319.1,
112,Vitebsk region,Tram,3Q2020,PKM,14217.3,
112,Vitebsk region,Tram,4Q2020,PKM,15210.6,
112,Vitebsk region,Tram,1Q2021,PKM,15003.6,
112,Vitebsk region,Tram,2Q2021,PKM,15251.6,
112,Vitebsk region,Tram,3Q2021,PKM,14301.5,
112,Vitebsk region,Tram,4Q2021,PKM,15809,
191,Osijek,Tram,1Q2019,Pass,1269,
191,Osijek,Tram,2Q2019,Pass,1221,
191,Osijek,Tram,3Q2019,Pass,863,
191,Osijek,Tram,4Q2019,Pass,1155,
191,Osijek,Tram,1Q2020,Pass,1234,
191,Osijek,Tram,2Q2020,Pass,312,
191,Osijek,Tram,3Q2020,Pass,582,
191,Osijek,Tram,4Q2020,Pass,871,
191,Osijek,Tram,1Q2021,Pass,864,
191,Osijek,Tram,2Q2021,Pass,899,
191,Osijek,Tram,3Q2021,Pass,325,
191,Osijek,Tram,4Q2021,Pass,1011,
191,Zagreb,Tram,1Q2019,Pass,45518,
191,Zagreb,Tram,2Q2019,Pass,45569,
191,Zagreb,Tram,3Q2019,Pass,40092,
191,Zagreb,Tram,4Q2019,Pass,47773,
191,Zagreb,Tram,1Q2020,Pass,42105,
191,Zagreb,Tram,2Q2020,Pass,22641,
191,Zagreb,Tram,3Q2020,Pass,31660,
191,Zagreb,Tram,4Q2020,Pass,32023,
191,Zagreb,Tram,1Q2021,Pass,27486,
191,Zagreb,Tram,2Q2021,Pass,29508,
191,Zagreb,Tram,3Q2021,Pass,27498,
191,Zagreb,Tram,4Q2021,Pass,32080,
203,Czechia total (excluding Prague),Tram,1Q2019,Pass,84700,
203,Czechia total (excluding Prague),Tram,2Q2019,Pass,79700,
203,Czechia total (excluding Prague),Tram,3Q2019,Pass,79900,
203,Czechia total (excluding Prague),Tram,4Q2019,Pass,90600,
203,Czechia total (excluding Prague),Tram,1Q2020,Pass,82200,
203,Czechia total (excluding Prague),Tram,2Q2020,Pass,47900,
203,Czechia total (excluding Prague),Tram,3Q2020,Pass,66500,
203,Czechia total (excluding Prague),Tram,4Q2020,Pass,59000,
203,Czechia total (excluding Prague),Tram,1Q2021,Pass,56800,
203,Czechia total (excluding Prague),Tram,2Q2021,Pass,54000,
203,Czechia total (excluding Prague),Tram,3Q2021,Pass,64800,
203,Czechia total (excluding Prague),Tram,1Q2019,PKM,455100,
203,Czechia total (excluding Prague),Tram,2Q2019,PKM,437000,
